j,n,m,coef
0.0,0.0,0.0,2.09401510422283
4.0,2.0,0.0,-0.7208495761237129
144.0,16.0,0.0,0.9373080796947357
145.0,16.0,2.0,-0.7166088924163486
180.0,18.0,0.0,2.0715696191944515
181.0,18.0,2.0,-1.6811008279200705
182.0,18.0,4.0,1.3166186276045893
220.0,20.0,0.0,4.46717833821768
221.0,20.0,2.0,-3.7688984931979514
222.0,20.0,4.0,2.963352303054523
264.0,22.0,0.0,9.18537368778715
265.0,22.0,2.0,-7.8901364122911914
266.0,22.0,4.0,6.220699368963962
288.0,23.0,1.0,-0.6820645793150845
312.0,24.0,0.0,17.609787845062762
313.0,24.0,2.0,-14.95982667414147
314.0,24.0,4.0,11.846111628122054
315.0,24.0,6.0,-0.8919910608365648
316.0,24.0,8.0,-1.4052868171917545
317.0,24.0,10.0,1.2145094283958997
318.0,24.0,12.0,-0.9545564253718559
338.0,25.0,1.0,-1.2685237431597811
339.0,25.0,3.0,0.9683783165104864
340.0,25.0,5.0,-0.8787241981591446
364.0,26.0,0.0,30.61913979345068
365.0,26.0,2.0,-24.610277640663
366.0,26.0,4.0,19.68141582585029
367.0,26.0,6.0,-1.0054756765081656
368.0,26.0,8.0,-3.7072526784826936
369.0,26.0,10.0,2.9634375241027144
370.0,26.0,12.0,-2.2892903735231895
371.0,26.0,14.0,0.9336735482649746
392.0,27.0,1.0,-2.172408796346601
393.0,27.0,3.0,1.6665034342674891
394.0,27.0,5.0,-1.3604233953665732
420.0,28.0,0.0,46.642490434114194
421.0,28.0,2.0,-32.617013417926785
422.0,28.0,4.0,26.74739633120947
424.0,28.0,8.0,-8.552325573710855
425.0,28.0,10.0,6.077624105063627
426.0,28.0,12.0,-4.41218482986267
427.0,28.0,14.0,1.3881480978310257
428.0,28.0,16.0,0.6644833378492089
429.0,28.0,18.0,-1.1032121693209511
450.0,29.0,1.0,-3.333679302765897
451.0,29.0,3.0,2.453224202423694
452.0,29.0,5.0,-1.598305850248118
453.0,29.0,7.0,0.8347690752918471
480.0,30.0,0.0,59.34932941281219
481.0,30.0,2.0,-29.026643502247698
482.0,30.0,4.0,25.794020606497227
483.0,30.0,6.0,2.789079359648188
484.0,30.0,8.0,-16.300020792788413
485.0,30.0,10.0,9.656149113025219
486.0,30.0,12.0,-5.912518266914051
488.0,30.0,16.0,3.177799974492159
489.0,30.0,18.0,-3.234733596870279
490.0,30.0,20.0,1.0065345741767282
512.0,31.0,1.0,-4.427467078078458
513.0,31.0,3.0,2.9039847619818744
514.0,31.0,5.0,-0.8912053113096209
515.0,31.0,7.0,0.7229587969904886
544.0,32.0,0.0,58.86436947050804
545.0,32.0,2.0,-3.4200676033054336
546.0,32.0,4.0,8.742256560055138
547.0,32.0,6.0,3.572761001439064
548.0,32.0,8.0,-23.65419874518512
