j,n,m,coef
0.0,0.0,0.0,2.1634582357237693
2.0,1.0,1.0,0.00011791283051365174
4.0,2.0,0.0,-0.7403942472475982
5.0,2.0,2.0,-0.046585623897824856
8.0,3.0,1.0,-5.3104736656491014e-05
9.0,3.0,3.0,6.74794233551726e-05
12.0,4.0,0.0,0.22771120456454075
13.0,4.0,2.0,0.02436411648795465
14.0,4.0,4.0,0.011004245671914372
18.0,5.0,1.0,3.139180536315157e-05
19.0,5.0,3.0,-5.15605080901628e-05
20.0,5.0,5.0,2.0523989268305884e-06
24.0,6.0,0.0,-0.031907108969826625
25.0,6.0,2.0,-0.019163573644102483
26.0,6.0,4.0,0.00383156266300425
27.0,6.0,6.0,-0.0013599304688549033
32.0,7.0,1.0,3.1906731964450805e-05
33.0,7.0,3.0,2.6884513655103283e-05
34.0,7.0,5.0,1.8245339456798675e-05
35.0,7.0,7.0,-7.3404471442181304e-06
40.0,8.0,0.0,0.044066871116864706
41.0,8.0,2.0,-0.012977094189258083
42.0,8.0,4.0,0.015669893217387723
43.0,8.0,6.0,-0.0008838634499907646
44.0,8.0,8.0,0.0010506352692066304
50.0,9.0,1.0,4.860937920641781e-05
51.0,9.0,3.0,-1.2834861190009692e-05
52.0,9.0,5.0,3.1770356675152496e-05
53.0,9.0,7.0,-1.5855217618925867e-05
54.0,9.0,9.0,5.4059757673202355e-06
60.0,10.0,0.0,0.053773429529048185
61.0,10.0,2.0,-0.029000203129400118
62.0,10.0,4.0,0.03169410477353846
63.0,10.0,6.0,-0.0033914157895042433
64.0,10.0,8.0,0.002606116154064254
65.0,10.0,10.0,-0.000313968022313019
72.0,11.0,1.0,0.0001168187355644058
73.0,11.0,3.0,-8.634161897728282e-06
74.0,11.0,5.0,8.390706673460553e-05
75.0,11.0,7.0,-4.2684846705264576e-05
76.0,11.0,9.0,1.7018038629170438e-05
77.0,11.0,11.0,-2.789893544935529e-06
84.0,12.0,0.0,0.11376310140218764
85.0,12.0,2.0,-0.06356606300679604
86.0,12.0,4.0,0.0681058317773162
87.0,12.0,6.0,-0.008909245883516586
88.0,12.0,8.0,0.007657241976089477
89.0,12.0,10.0,-0.001027381477326287
90.0,12.0,12.0,0.00014722609853500294
98.0,13.0,1.0,0.00026341475368343707
99.0,13.0,3.0,-5.7174485502203224e-05
100.0,13.0,5.0,0.00019390615165308856
101.0,13.0,7.0,-0.00011190123241497677
102.0,13.0,9.0,5.336045959520707e-05
103.0,13.0,11.0,-1.131289418369744e-05
104.0,13.0,13.0,1.4369338134888332e-06
112.0,14.0,0.0,0.2163259990309065
113.0,14.0,2.0,-0.13574405729129815
114.0,14.0,4.0,0.15338299018030685
115.0,14.0,6.0,-0.022826832653596345
116.0,14.0,8.0,0.020803158761487042
117.0,14.0,10.0,-0.003446840241877455
118.0,14.0,12.0,0.0006861635894011113
119.0,14.0,14.0,-8.860363827112652e-05
128.0,15.0,1.0,0.0005779508407172567
129.0,15.0,3.0,-0.00018816788487786233
130.0,15.0,5.0,0.00047698912610877136
131.0,15.0,7.0,-0.00028215505791851945
132.0,15.0,9.0,0.00015432194651900273
133.0,15.0,11.0,-3.9292349659346415e-05
134.0,15.0,13.0,8.3950206231627e-06
135.0,15.0,15.0,-4.64180067357876e-07
144.0,16.0,0.0,0.4495831196252211
145.0,16.0,2.0,-0.28933003379306244
146.0,16.0,4.0,0.33948738593593164
147.0,16.0,6.0,-0.05878446359975232
148.0,16.0,8.0,0.05387531203600656
149.0,16.0,10.0,-0.01061777414407132
150.0,16.0,12.0,0.002516361960412647
151.0,16.0,14.0,-0.0004849406303304316
152.0,16.0,16.0,2.836313502948759e-05
162.0,17.0,1.0,0.001297547988978376
163.0,17.0,3.0,-0.000497647701360175
164.0,17.0,5.0,0.0011487005054174005
165.0,17.0,7.0,-0.0007050975790169637
166.0,17.0,9.0,0.0004211706180408224
167.0,17.0,11.0,-0.00012161376620059886
168.0,17.0,13.0,3.363202854308697e-05
169.0,17.0,15.0,-3.575432646398327e-06
170.0,17.0,17.0,-4.802694641096311e-07
180.0,18.0,0.0,0.8982888287077682
181.0,18.0,2.0,-0.6160760935750855
182.0,18.0,4.0,0.7345879108625322
183.0,18.0,6.0,-0.14406048040349467
184.0,18.0,8.0,0.1331108267477805
185.0,18.0,10.0,-0.030147704246826494
186.0,18.0,12.0,0.007871561463437909
187.0,18.0,14.0,-0.001928024862363785
188.0,18.0,16.0,0.0001869669441347478
189.0,18.0,18.0,-0.00010804601753656301
200.0,19.0,1.0,0.002811390089318277
201.0,19.0,3.0,-0.0012518330051965985
202.0,19.0,5.0,0.0026629779738764304
203.0,19.0,7.0,-0.0017069805743475477
204.0,19.0,9.0,0.0010874774582467243
205.0,19.0,11.0,-0.0003425523947094206
206.0,19.0,13.0,0.00011405928657447488
207.0,19.0,15.0,-1.6239803294256557e-05
208.0,19.0,17.0,-1.9304624454244326e-06
209.0,19.0,19.0,1.092285040008343e-06
220.0,20.0,0.0,1.780169773502438
221.0,20.0,2.0,-1.2424413107406678
222.0,20.0,4.0,1.5316475191999614
223.0,20.0,6.0,-0.3311992205874644
224.0,20.0,8.0,0.30981672908370367
225.0,20.0,10.0,-0.07941118514177874
226.0,20.0,12.0,0.021394730420068484
227.0,20.0,14.0,-0.006388429512431744
228.0,20.0,16.0,0.0008114596060621523
229.0,20.0,18.0,-0.000708704416628396
230.0,20.0,20.0,-2.8932799434755116e-05
242.0,21.0,1.0,0.005837076953423468
243.0,21.0,3.0,-0.002862842631935865
244.0,21.0,5.0,0.00592935192330606
245.0,21.0,7.0,-0.003938880209881439
246.0,21.0,9.0,0.0026379530760645515
247.0,21.0,11.0,-0.000884899088670751
248.0,21.0,13.0,0.00033970454279160737
249.0,21.0,15.0,-5.755395282623101e-05
250.0,21.0,17.0,-5.725650969785282e-06
251.0,21.0,19.0,6.476155239876452e-06
252.0,21.0,21.0,-1.3878901876924858e-06
264.0,22.0,0.0,3.36465984248317
265.0,22.0,2.0,-2.3454866329432544
266.0,22.0,4.0,3.009539224775821
267.0,22.0,6.0,-0.7012736719751426
268.0,22.0,8.0,0.6699818122427357
269.0,22.0,10.0,-0.19189656024100527
270.0,22.0,12.0,0.05025516167147826
271.0,22.0,14.0,-0.01831283118714266
272.0,22.0,16.0,0.002699758992661736
273.0,22.0,18.0,-0.0030845652961018592
274.0,22.0,20.0,-0.00029291135070880735
275.0,22.0,22.0,3.4695067270779176e-05
288.0,23.0,1.0,0.011362106432487779
289.0,23.0,3.0,-0.005906843074060829
290.0,23.0,5.0,0.01244175188017569
291.0,23.0,7.0,-0.008557606583128555
292.0,23.0,9.0,0.005940741401596505
293.0,23.0,11.0,-0.002078759496389605
294.0,23.0,13.0,0.0009021769201892891
295.0,23.0,15.0,-0.00017260085609732082
296.0,23.0,17.0,-1.3817360735825061e-05
297.0,23.0,19.0,2.676388025721235e-05
