j,n,m,coef
0.0,0.0,0.0,0.43208440149765664
2.0,1.0,1.0,9.851934977784041e-05
4.0,2.0,0.0,-0.17407675425919328
5.0,2.0,2.0,-0.009123283347371648
8.0,3.0,1.0,-5.4135390096777745e-05
9.0,3.0,3.0,-4.882993354263549e-06
12.0,4.0,0.0,0.05160964565247372
13.0,4.0,2.0,0.008192091255968812
14.0,4.0,4.0,0.0015699760251593636
18.0,5.0,1.0,1.1066942946861361e-05
19.0,5.0,3.0,1.7559749596257887e-06
20.0,5.0,5.0,1.1952157675067243e-06
24.0,6.0,0.0,-0.007844022010972111
25.0,6.0,2.0,-0.00229628862234036
26.0,6.0,4.0,-0.0012393720821288398
