j,n,m,coef
0.0,0.0,0.0,2.0874996063514226
2.0,1.0,1.0,0.0011088728804242
4.0,2.0,0.0,-0.7184474597364766
5.0,2.0,2.0,-0.0422493534601282
8.0,3.0,1.0,-0.0005233422000997
9.0,3.0,3.0,1.4380938723357328e-05
12.0,4.0,0.0,0.2261242145836133
13.0,4.0,2.0,0.0158341045259091
14.0,4.0,4.0,0.0057119038996209
18.0,5.0,1.0,0.0002974040047012
19.0,5.0,3.0,-4.277789845179639e-05
20.0,5.0,5.0,1.1200834527290426e-05
24.0,6.0,0.0,-0.0224108267014123
25.0,6.0,2.0,-0.0193768015648563
26.0,6.0,4.0,0.0069399955744006
27.0,6.0,6.0,0.0018926173286103
32.0,7.0,1.0,0.0001444503101655
33.0,7.0,3.0,-2.9008250002193064e-05
34.0,7.0,5.0,3.701853392523019e-05
35.0,7.0,7.0,2.7396375839906784e-06
40.0,8.0,0.0,0.0558559160736383
41.0,8.0,2.0,-0.0235928275035499
42.0,8.0,4.0,0.0153591124274468
43.0,8.0,6.0,0.0016217417288682
44.0,8.0,8.0,-0.0004606765192977
50.0,9.0,1.0,0.0003919816377441
51.0,9.0,3.0,-0.0001199270274064
52.0,9.0,5.0,8.64987845244046e-05
53.0,9.0,7.0,-3.629924080893187e-06
54.0,9.0,9.0,-1.931888133289289e-06
60.0,10.0,0.0,0.0879953546860299
61.0,10.0,2.0,-0.0530719426026326
62.0,10.0,4.0,0.0389436520077131
63.0,10.0,6.0,0.0035378777235641
64.0,10.0,8.0,-0.0012297520211947
65.0,10.0,10.0,0.000140719093624
72.0,11.0,1.0,0.0008475654755635
73.0,11.0,3.0,-0.0003010615423597
74.0,11.0,5.0,0.0002475715993796
75.0,11.0,7.0,-2.0299047952440077e-05
76.0,11.0,9.0,-3.242017433285156e-06
77.0,11.0,11.0,3.4546177347451765e-06
84.0,12.0,0.0,0.1927634873509116
85.0,12.0,2.0,-0.1230504512093452
86.0,12.0,4.0,0.0926561921147537
87.0,12.0,6.0,0.0043988814584841
88.0,12.0,8.0,-0.0034424543135615
89.0,12.0,10.0,0.0008250123893891
90.0,12.0,12.0,-0.0001990735661201
98.0,13.0,1.0,0.0019891184974066
99.0,13.0,3.0,-0.0008148421327196
100.0,13.0,5.0,0.0006668329338948
101.0,13.0,7.0,-8.837190605602498e-05
102.0,13.0,9.0,-3.4136416053611417e-06
103.0,13.0,11.0,1.502203619911668e-05
104.0,13.0,13.0,-7.688370889545257e-07
112.0,14.0,0.0,0.4180771043147307
113.0,14.0,2.0,-0.2958459750405003
114.0,14.0,4.0,0.2280010559857358
115.0,14.0,6.0,0.0035041921617591
116.0,14.0,8.0,-0.0090167250489198
117.0,14.0,10.0,0.0034791047178729
118.0,14.0,12.0,-0.0014423443416176
119.0,14.0,14.0,0.0003306900040476
128.0,15.0,1.0,0.0047081359089303
129.0,15.0,3.0,-0.0021867486591734
130.0,15.0,5.0,0.0017938243060469
131.0,15.0,7.0,-0.0003052267115457
132.0,15.0,9.0,7.472614286078072e-06
133.0,15.0,11.0,5.0353349387692765e-05
134.0,15.0,13.0,-4.657445709241846e-06
135.0,15.0,15.0,-2.9078652429838326e-06
144.0,16.0,0.0,0.9348654563303698
145.0,16.0,2.0,-0.705027504467468
146.0,16.0,4.0,0.5542375912968329
147.0,16.0,6.0,-0.0088192600080605
148.0,16.0,8.0,-0.0241943609066547
149.0,16.0,10.0,0.013337231887613
150.0,16.0,12.0,-0.0071584403320159
151.0,16.0,14.0,0.0024143926447216
152.0,16.0,16.0,-0.0002847248892999
162.0,17.0,1.0,0.01118823559925
